class,type
shop,dental_supplies
office,coworking
shop,motorcycle
amenity,fire_station
shop,bicycle
emergency,phone
shop,lighting
man_made,tower
shop,alcohol
shop,variety_store
man_made,flagpole
highway,path
highway,track
shop,garden_centre
shop,trade
shop,doityourself
shop,radiotechnics
office,telecommunication
railway,stop
highway,motorway_junction
amenity,loading_dock
aeroway,aerodrome
office,government
shop,art
shop,motorcycle_repair
amenity,parking_space
tourism,viewpoint
shop,stationery
amenity,bicycle_repair_station
shop,tyres
shop,boutique
shop,beverages
shop,health_food
railway,station
highway,services
amenity,toilets
leisure,dog_park
craft,insulation
man_made,works
shop,bakery
emergency,assembly_point
shop,gift
leisure,outdoor_seating
office,association
shop,wholesale
amenity,shelter
office,lawyer
shop,caravan
tourism,picnic_site
amenity,social_facility
office,insurance
leisure,marina
highway,trunk_link
shop,electronics
amenity,recycling
shop,toys
leisure,nature_reserve
amenity,fountain
aeroway,hangar
historic,maritime
shop,sports
historic,memorial
amenity,animal_boarding
man_made,tunnel
leisure,village_green
emergency,lifeguard
shop,cosmetics
aeroway,apron
shop,e-cigarette
shop,copyshop
leisure,psychic
shop,storage_rental
office,accountant
building,mixed
building,storage
office,property_management
shop,erotic
tourism,apartment
amenity,childcare
shop,antiques
man_made,pier
man_made,manhole
railway,junction
tourism,gallery
man_made,mast
shop,vacant
leisure,stadium
railway,subway_entrance
